feature,tree,knn,gnb,lda
1,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
2,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
3,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
4,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
5,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
6,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
7,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
8,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
9,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
10,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
11,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
12,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
13,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
14,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
15,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
16,0.0,1.4676907639293466e-14,1.4676907639293466e-14,2.935381527858693e-14
